Date,INGA.AS,SHEL,XOM,^AEX,^GSPC,EURUSD=X,log_loan
2006-01-04,0.02309715509210013,0.010259768492681896,0.0017086047828934795,0.006922800244538832,0.0036659643862557716,0.006543246546145695,0.0002019637309366517
2006-01-05,-0.012318989296686627,-0.012136476151824097,-0.004963558413657176,-0.0042110904267056,1.5720458048537734e-05,-0.00041168873684475156,0.0002023604761186898
2006-01-06,0.006677921965349727,0.018918385557725376,0.019540337761845532,0.006702333806049186,0.00935551838421723,0.0038817563086495453,0.00020315396601010207
2006-01-09,0.008614829569374784,-0.001383104399299969,-0.0005048025234803949,0.00395982474846749,0.003649695996218134,-0.006529687652801062,0.00020394745527211065
2006-01-10,-0.025732135052456487,-0.002773090553078691,0.007713961351373483,-0.008926052203815558,-0.0003566756223530049,-0.0009052183712828674,0.00020593117567219317
2006-01-11,0.006074732649660743,0.0043097284218316205,0.006825978421876989,0.00541447427682319,0.0034754974769433383,0.0061959538988384764,0.0002063279192799481
2006-01-12,0.005034488606265459,-0.007863333090094704,-0.010507937744165799,0.0024392630467805513,-0.006294004875159206,-0.0077750583128544945,0.00020712140602346384
2006-01-13,-0.02131683724094132,0.009091796055927543,0.02205534613267832,-0.013569520527936814,0.0012044488366576883,0.008102807605059732,0.00020751814915900287
2006-01-16,-0.008586639440654187,0.0,0.0,0.0014037204067954918,0.0,-0.0022196590033976863,0.00020751814915900287
2006-01-17,-0.01040237701162863,0.005506731118293565,0.009305624360573573,-0.007904596453370888,-0.0036412090379517445,-0.0006297919547457851,0.00020950186247606877
2006-01-18,-0.023630296553482564,-0.003055924115646387,-0.014072957855065632,-0.009854370478226094,-0.0039049429830878084,-3.6427670304904696e-05,0.00020831163495808793
2006-01-19,0.01064988853313931,-0.007063592075967775,0.01342254816275417,0.005534972042740043,0.0055482532633199955,-0.0014034752621391658,0.00020831163495808793
2006-01-20,-0.014941560832976668,0.0012317393602096697,-0.01589812803914821,-0.010174768087115345,-0.018496322409992532,0.003718816279432901,0.00020831163495808793
2006-01-23,-0.0025123776928397193,0.012238080955363922,0.01100813428682476,-0.0007406891318394125,0.001845283766660529,0.013747064094996127,0.00020950186247606877
2006-01-24,-0.00035912992305294096,-0.008857035242253012,-0.00392921036304432,-0.0008570753276254545,0.002402548411444657,-0.003181662844508498,0.00021029534670088566
2006-01-25,0.029048978871614037,-0.0032268025568420186,-0.012379386240428517,0.011406005615803117,-0.001722218211682101,-0.001629828263892348,0.00021108883029630782
2006-01-26,0.0173076286547822,0.00781784841877334,-0.0043276738417494225,0.016294179217080484,0.007208907535489939,-0.0024581756473356186,0.00021188231326189224
2006-01-27,0.017012720419375356,0.015604659936901287,0.022105923190459374,0.0135231175817768,0.007734014372505559,-0.009954393660605,0.00021188231326189224
2006-01-30,-0.0047345026254378315,0.01418053388690977,0.0292623277077713,0.002287946509285131,0.001144431617966672,-0.0006529396417630722,0.00021346927730444
2006-01-31,-0.004416191732292404,0.00944134365147764,-0.005720378007672988,-0.0004438797328142222,-0.003983980099300531,0.005149898660757911,0.00021307253652996363
2006-02-01,0.012855276808308069,-0.012112958758862574,-0.01283100995698702,0.011476648008872641,0.0018575363851853091,-0.006731854159330575,0.00021307253652996363
2006-02-02,-0.00776094651003,-0.016481586583100328,0.0,-0.011676437860964796,-0.009102005775588267,0.0014128829175009342,0.00021307253652996363
2006-02-03,0.007760946510029982,-0.019835823068577674,-0.009080638056770679,0.0019075184529141502,-0.005373019460362076,-0.004725752548756046,0.00021307253652996363
2006-02-06,0.003355582027893232,0.0009236648588207816,0.009403533463087638,0.002766131130945908,0.000782894973074496,-0.005337835436600159,0.00021346927730444
2006-02-07,0.0010047643962593034,-0.027154917493095194,-0.02318146595713086,0.0011264089811164428,-0.008127666010110246,0.002503415710290351,0.00021386601792173517
2006-02-08,0.0,0.002655412124628215,0.0026535635164436763,-0.0009054351965617854,0.008625561733288215,-0.002335921043996027,0.00021426275838140528
2006-02-09,0.012967590025575378,-0.0017524321177898943,-0.007813284424932152,0.011532379799529643,-0.0014785903687121538,0.002419909750198401,0.00021465949868367247
2006-02-10,0.005271937430632505,-0.0006377169107926428,-0.008211331294670568,-0.003522446495876022,0.002536747815164882,-0.007277768780254572,0.00021505623882875886
2006-02-13,0.007856028583525602,-0.0006390344491678982,0.002856170684334626,0.007032595319185334,-0.003265022504588939,0.00041679917459765814,0.00021624645831893642
2006-02-14,0.004878498100053307,-0.005282472952223271,-0.0008390100730745396,0.001218021611128222,0.009982823043985454,0.00033359442192101293,0.00021624645831893642
2006-02-15,-0.0006490132896672309,-0.005795638112314878,0.0035202697160496388,0.0011296742679200544,0.0034982764518372493,-0.002523028670692511,0.00021584971864627972
2006-02-16,-0.0016245494406965906,0.006758029561971608,0.008165796501876427,0.002385562281730909,0.007301408539075194,0.0017726350741738186,0.00021584971864627972
2006-02-17,0.013565829956355212,0.006075246324360722,0.004967369302810308,0.004193427282741103,-0.001661102641883317,0.002933418411826851,0.00021545297881622055
2006-02-20,0.0006413117988282626,0.0,0.0,0.002240819091725068,0.0,-0.0006685415703134679,0.00021545297881622055
2006-02-21,0.0009621234991519711,-0.007519347565882331,0.0034622311116727653,-0.0006889582529014836,-0.003275892937654234,-0.0011808000546799876,0.00021664319783441284
2006-02-22,0.011781322667786701,-0.012117602668722463,-0.008263679588242135,0.003654542614912837,0.007485389902519992,-0.0003336831903147659,0.00021664319783441284
2006-02-23,0.00031644399428006764,-0.009308391963793234,-0.007161021555386604,-0.0030732397541183387,-0.003782279549742235,0.0005005830321471893,0.00021743667639271524
2006-02-24,-0.00031644399428012456,0.0008201833228442463,0.009812891062616975,-4.302598819623899e-05,0.0012727006703122869,-0.0036889851697372296,0.0002178334154357635
2006-02-27,0.015392136275554264,-0.001477172170390423,-0.008309685867986865,0.006351252839399278,0.0036306217950358086,-0.0023609698826720753,0.00021862689304987667
2006-02-28,-0.017293239524338228,-0.007084217754095862,-0.009221693494529897,-0.019023510385728755,-0.010455326977436476,0.006729766532618566,0.00021862689304987667
2006-03-01,-0.006363464614934298,0.023530292070662782,0.016206511088935893,0.006475351156089901,0.008227392693299463,-0.0008467113220418398,0.0002178334154357635
