Date,EURUSD=X,INGA.AS,SHEL,XOM,^AEX,^GSPC
2006-01-02,1.1816978454589844,10.773767471313477,,,440.5199890136719,
2006-01-03,1.2032970190048218,10.7121000289917,23.33744239807129,29.426700592041016,441.92999267578125,1268.800048828125
2006-01-04,1.2111963033676147,10.962398529052734,23.57811164855957,29.477022171020508,445.0,1273.4599609375
2006-01-05,1.2106977701187134,10.828181266784668,23.293685913085938,29.331073760986328,443.1300048828125,1273.47998046875
2006-01-06,1.2154065370559692,10.90073299407959,23.73855972290039,29.909849166870117,446.1099853515625,1285.449951171875
2006-01-09,1.207496166229248,10.995046615600586,23.70574951171875,29.89475440979004,447.8800048828125,1290.1500244140625
2006-01-10,1.2064036130905151,10.715729713439941,23.64010238647461,30.126253128051758,443.8999938964844,1289.68994140625
2006-01-11,1.2139016389846802,10.781023025512695,23.742204666137695,30.332597732543945,446.30999755859375,1294.1800537109375
2006-01-12,1.2045000791549683,10.835436820983887,23.556243896484375,30.015533447265625,447.3999938964844,1286.06005859375
2006-01-13,1.2142995595932007,10.606904029846191,23.77138900756836,30.684890747070312,441.3699951171875,1287.6099853515625
2006-01-16,1.2116072177886963,10.516216278076172,,,441.989990234375,
2006-01-17,1.2108443975448608,10.407389640808105,23.902652740478516,30.971765518188477,438.510009765625,1282.9300537109375
2006-01-18,1.210800290107727,10.164342880249023,23.82971954345703,30.53895378112793,434.2099914550781,1277.9300537109375
2006-01-19,1.2091021537780762,10.273170471191406,23.661989212036133,30.951627731323242,436.6199951171875,1285.0400390625
2006-01-20,1.2136069536209106,10.120814323425293,23.691152572631836,30.46344566345215,432.20001220703125,1261.489990234375
2006-01-23,1.2304056882858276,10.095418930053711,23.982868194580078,30.800643920898438,431.8800048828125,1263.8199462890625
2006-01-24,1.2264971733093262,10.09179401397705,23.77138900756836,30.679859161376953,431.510009765625,1266.8599853515625
2006-01-25,1.2244998216629028,10.389249801635742,23.694807052612305,30.30240249633789,436.4599914550781,1264.6800537109375
2006-01-26,1.2214934825897217,10.57062816619873,23.880775451660156,30.171546936035156,443.6300048828125,1273.8299560546875
2006-01-27,1.2093945741653442,10.752001762390137,24.256349563598633,30.845943450927734,449.6700134277344,1283.719970703125
2006-01-30,1.208605170249939,10.701216697692871,24.602767944335938,31.761903762817383,450.70001220703125,1285.18994140625
2006-01-31,1.2148454189300537,10.654062271118164,24.836151123046875,31.580732345581055,450.5,1280.0799560546875
2006-02-01,1.2066947221755981,10.79190731048584,24.537126541137695,31.17810821533203,455.70001220703125,1282.4599609375
2006-02-02,1.208400845527649,10.708476066589355,24.136030197143555,31.17810821533203,450.4100036621094,1270.8399658203125
2006-02-03,1.2027037143707275,10.79190731048584,23.661989212036133,30.896272659301758,451.2699890136719,1264.030029296875
2006-02-06,1.196300983428955,10.828181266784668,23.683855056762695,31.18817710876465,452.5199890136719,1265.02001953125
2006-02-07,1.1992995738983154,10.839066505432129,23.049375534057617,30.4735050201416,453.0299987792969,1254.780029296875
2006-02-08,1.19650137424469,10.839066505432129,23.11066246032715,30.554475784301758,452.6199951171875,1265.6500244140625
2006-02-09,1.1994003057479858,10.980538368225098,23.07019805908203,30.316675186157227,457.8699951171875,1263.780029296875
2006-02-10,1.19070303440094,11.038579940795898,23.055490493774414,30.068754196166992,456.260009765625,1266.989990234375
2006-02-13,1.1911994218826294,11.125640869140625,23.040761947631836,30.15475845336914,459.4800109863281,1262.8599853515625
2006-02-14,1.1915968656539917,11.180049896240234,22.919370651245117,30.12946891784668,460.0400085449219,1275.530029296875
2006-02-15,1.1885942220687866,11.172796249389648,22.786922454833984,30.235719680786133,460.55999755859375,1280.0
2006-02-16,1.19070303440094,11.15466022491455,22.941438674926758,30.48362922668457,461.6600036621094,1289.3800048828125
2006-02-17,1.1942009925842285,11.307013511657715,23.08123779296875,30.63542938232422,463.6000061035156,1287.239990234375
2006-02-20,1.193402886390686,11.3142671585083,,,464.6400146484375,
2006-02-21,1.191994547843933,11.32515811920166,22.90833282470703,30.741680145263672,464.32000732421875,1283.030029296875
2006-02-22,1.1915968656539917,11.459372520446777,22.632413864135742,30.48868751525879,466.0199890136719,1292.6700439453125
2006-02-23,1.1921935081481934,11.46299934387207,22.422719955444336,30.271137237548828,464.5899963378906,1287.7900390625
2006-02-24,1.1878036260604858,11.459372520446777,22.441118240356445,30.56964683532715,464.57000732421875,1289.4300537109375
2006-02-27,1.1850025653839111,11.637121200561523,22.40799331665039,30.316675186157227,467.5299987792969,1294.1199951171875
2006-02-28,1.1930042505264282,11.437607765197754,22.24981117248535,30.038389205932617,458.7200012207031,1280.6600341796875
2006-03-01,1.191994547843933,11.365056037902832,22.779563903808594,30.529172897338867,461.70001220703125,1291.239990234375
2006-03-02,1.203905463218689,11.238092422485352,22.713346481323242,30.787193298339844,457.260009765625,1289.1400146484375
2006-03-03,1.204601526260376,11.136521339416504,22.80531883239746,30.852983474731445,455.25,1287.22998046875
2006-03-06,1.2016053199768066,11.270740509033203,22.4778995513916,30.347030639648438,457.8599853515625,1278.260009765625
2006-03-07,1.1890040636062622,11.270740509033203,22.308677673339844,30.281251907348633,455.1700134277344,1275.8800048828125
2006-03-08,1.1927053928375244,11.082107543945312,22.43743324279785,30.210433959960938,451.3800048828125,1278.469970703125
2006-03-09,1.1904053688049316,11.140151023864746,22.37120819091797,29.810731887817383,454.4200134277344,1272.22998046875
2006-03-10,1.1911001205444336,11.24172306060791,22.599294662475586,29.9422664642334,458.5899963378906,1281.4200439453125
2006-03-13,1.1967018842697144,11.41947078704834,22.709667205810547,30.175003051757812,461.6700134277344,1284.1300048828125
2006-03-14,1.2018941640853882,11.535552024841309,22.945114135742188,30.7669677734375,462.5799865722656,1297.47998046875
2006-03-15,1.2071025371551514,11.579079627990723,22.93775749206543,30.873226165771484,464.5,1303.02001953125
2006-03-16,1.217492938041687,11.622613906860352,23.18424415588379,31.186904907226562,464.1700134277344,1305.3299560546875
2006-03-17,1.2192000150680542,11.629865646362305,22.89730453491211,30.888391494750977,464.04998779296875,1307.25
2006-03-20,1.216293454170227,11.753201484680176,22.54411506652832,30.691076278686523,466.5299987792969,1305.0799560546875
2006-03-21,1.210800290107727,11.81124496459961,22.349140167236328,30.721435546875,467.0799865722656,1297.22998046875
2006-03-22,1.2079044580459595,11.854771614074707,22.36017417907715,30.888391494750977,469.0299987792969,1305.0400390625
2006-03-23,1.197203278541565,11.872910499572754,22.286611557006836,30.989608764648438,470.75,1301.6700439453125
2006-03-24,1.2034997940063477,11.829379081726074,22.632413864135742,30.94911766052246,472.07000732421875,1302.949951171875
2006-03-27,1.20110023021698,11.695161819458008,22.69863510131836,31.009830474853516,469.760009765625,1301.6099853515625
2006-03-28,1.20110023021698,11.651631355285645,22.632413864135742,30.837806701660156,467.75,1293.22998046875
2006-03-29,1.2030943632125854,11.767708778381348,22.981897354125977,31.004762649536133,468.989990234375,1302.8900146484375
