Date,ASML,SHELL,JPM,STOXX50,SP500,EURUSD,EURIBOR3M,JPM_EUR,SP500_EUR,LOAN
2015-01-05,-0.018571183302867653,-0.04176089378380593,-0.03153715910142798,0.0,-0.01844721353258704,-0.011897438565102489,-0.0010000000000000009,-0.01963972053632549,-0.006549774967484552,0.00013821606677732063
2015-01-06,-0.032763312019094944,-0.0037642906721216713,-0.026271003214690683,0.0,-0.00893325469070073,-0.0006210645277236351,-0.0020000000000000018,-0.025649938686967046,-0.008312190162977096,0.00022956705418956187
2015-01-07,0.0033015436811365405,0.013299638095982528,0.0015248858570619903,0.0012066741164020922,0.011562735844876304,-0.005346276174006826,-0.002999999999999989,0.006871162031068816,0.01690901201888313,0.00032091804160180187
2015-01-08,0.037430947935398834,0.022993982425427297,0.022100357484864205,0.0351520521010802,0.01773016812715591,-0.0033195730466942307,0.0,0.025419930531558436,0.02104974117385014,4.686507936507936e-05
2015-01-09,-0.027008491406079325,-0.015208588140591795,-0.017540123006440228,-0.02984374104545261,-0.008439322147078786,-0.003379439382005422,0.0,-0.014160683624434806,-0.005059882765073364,4.686507936507936e-05
2015-01-12,0.02360097139490367,-0.014132399946426172,-0.008631425194157528,0.01347482161733026,-0.008126616843470486,0.0063071378520621595,0.000999999999999987,-0.014938563046219688,-0.014433754695532645,-4.4485908047160635e-05
2015-01-13,0.012887072517991026,0.004298060678346453,0.000169862132771812,0.01597970827522643,-0.0025818854358163217,-0.0033063673964047143,0.0,0.0034762295291765263,0.0007244819605883926,4.686507936507936e-05
2015-01-14,-0.018477991724945055,-0.031056974979352087,-0.03510954921402089,-0.014201242063162053,-0.00583002896797565,-0.004509498516605955,-0.001999999999999988,-0.030600050697414935,-0.0013205304513696954,0.00022956705418956063
2015-01-15,0.006045700765456172,0.038487551187929236,-0.03256123556495724,0.021672005602341417,-0.009290903004567771,0.0006480468848154741,0.0,-0.03320928244977272,-0.009938949889383245,4.686507936507936e-05
2015-01-16,0.00883151573098743,0.023414572569748857,0.016949707886913967,0.014114292463824195,0.013334893186267299,-0.012683432307938832,-0.009000000000000008,0.0296331401948528,0.02601832549420613,0.0008690239660752506
2015-01-19,0.007524473723102862,0.0016257236221684063,0.0,0.005810231418305826,0.0,-0.00614887338606086,-0.003999999999999997,0.00614887338606086,0.00614887338606086,0.0004122690290140438
