Date,ASML,SHELL,JPM,STOXX50,SP500,EURUSD,EURIBOR3M,JPM_EUR,SP500_EUR
2015-01-02,79.89019012451172,14.97729110717773,46.51113128662109,3023.139892578125,2058.199951171875,1.208941340446472,0.076,38.47261213637061,1702.481239008474
2015-01-05,78.4201889038086,14.36470413208008,45.06718826293945,3023.139892578125,2020.579956054688,1.194643259048462,0.075,37.72439003994853,1691.3668082504294
2015-01-06,75.89254760742188,14.31073474884033,43.89865875244141,3023.139892578125,2002.609985351562,1.193901538848877,0.073,36.76907795492679,1677.3661145310332
2015-01-07,76.14350891113281,14.50233268737793,43.96563339233398,3026.7900390625,2025.900024414062,1.187535643577576,0.07,37.02258002116289,1705.969867406106
2015-01-08,79.04763793945312,14.83966255187988,44.94810485839844,3135.080078125,2062.139892578125,1.183600068092346,0.07,37.975753863247945,1742.2607079617321
2015-01-09,76.94122314453125,14.61567687988281,44.16659545898438,3042.89990234375,2044.81005859375,1.179606914520264,0.07,37.441790918075924,1733.4673385034853
2015-01-12,78.77872467041016,14.4105863571167,43.7869987487793,3084.179931640625,2028.260009765625,1.187070369720459,0.071,36.886607454527415,1708.6265999910825
2015-01-13,79.80054473876953,14.47265243530273,43.79443740844727,3133.860107421875,2023.030029296875,1.183151960372925,0.071,37.015057131497656,1709.8649176553988
2015-01-14,78.33952331542969,14.03008079528809,42.28353118896484,3089.669921875,2011.27001953125,1.177828550338745,0.069,35.89956380052431,1707.60847913969
2015-01-15,78.81458282470703,14.58059978485107,40.92890167236328,3157.360107421875,1992.670043945312,1.178592085838318,0.069,34.72694426184871,1690.7207064163767
2015-01-16,79.51370239257812,14.92601871490479,41.62855529785156,3202.239990234375,2019.420043945312,1.163737893104553,0.06,35.77141858532878,1735.287693140265
2015-01-19,80.1142578125,14.95030689239502,41.62855529785156,3220.89990234375,2019.420043945312,1.156604170799255,0.056,35.99205013162346,1745.9906292312783
2015-01-20,80.23078155517578,14.99888515472412,41.46479797363281,3244.919921875,2022.550048828125,1.159796833992004,0.055,35.75177717196517,1743.883057402853
2015-01-21,82.27442169189453,15.24446296691895,41.59877014160156,3269.72998046875,2032.119995117188,1.154694437980652,0.055,36.0257820366314,1759.8768369153934
2015-01-22,84.2194595336914,15.4603443145752,42.86408996582031,3322.64990234375,2063.14990234375,1.161534547805786,0.055,36.90298325331206,1776.2277551203053
2015-01-23,84.64073181152344,15.69512844085693,42.1867561340332,3382.550048828125,2051.820068359375,1.134674549102783,0.053,37.17960904947712,1808.2894958574714
2015-01-26,84.9544448852539,15.93260288238525,42.25375366210938,3414.280029296875,2057.090087890625,1.112545013427734,0.054,37.97936546578571,1848.994928800914
2015-01-27,84.11190032958984,15.82735157012939,41.82950973510742,3372.580078125,2029.550048828125,1.124770879745483,0.055,37.18936050742418,1804.4119788088562
2015-01-28,84.01333618164062,15.54939365386963,40.75026702880859,3358.9599609375,2002.160034179688,1.136738181114197,0.053,35.84841936853602,1761.3202999983955
2015-01-29,83.65477752685547,14.81537628173828,41.43503189086914,3371.830078125,2021.25,1.128146171569824,0.052,36.72842485758027,1791.6561266058416
2015-01-30,83.60995483398438,14.53202247619629,40.47488784790039,3351.43994140625,1994.989990234375,1.13355553150177,0.054,35.70613589109127,1759.9402365328758
2015-02-02,81.43186950683594,14.82077693939209,41.28617477416992,3370.110107421875,2020.849975585938,1.13090193271637,0.055,36.507298802649125,1786.9365301480714
2015-02-03,80.86719512939453,15.54670524597168,42.21653366088867,3414.179931640625,2050.030029296875,1.134172677993774,0.055,37.22231586072506,1807.511386117281
2015-02-04,80.6610336303711,15.55209732055664,41.96347808837891,3415.530029296875,2041.510009765625,1.145737886428833,0.055,36.6257226765674,1781.829887923875
2015-02-05,79.96188354492188,15.71941184997559,42.25375366210938,3408.9599609375,2062.52001953125,1.131874680519104,0.051,37.33077026047692,1822.2158822258755
2015-02-06,80.73271942138672,15.76258563995361,43.08737182617188,3398.159912109375,2055.469970703125,1.147196888923645,0.053,37.55882903988566,1791.7325182355273
2015-02-09,78.21404266357422,15.86513233184814,43.0352668762207,3347.75,2046.739990234375,1.131439328193665,0.051,38.03585910781995,1808.970166789218
2015-02-10,80.26664733886719,15.65194606781006,43.51161575317383,3383.1298828125,2068.590087890625,1.132695317268372,0.05,38.41422763016908,1826.254647965945
2015-02-11,81.67386627197266,15.63305759429932,43.44462966918945,3374.139892578125,2068.530029296875,1.132195115089417,0.049,38.372034192850535,1827.008438500028
2015-02-12,81.25261688232422,15.64286136627197,44.33778762817383,3417.610107421875,2088.47998046875,1.131196141242981,0.048,39.19549051807636,1846.2580487358155
2015-02-13,81.8710708618164,15.88942337036133,44.4122200012207,3447.590087890625,2096.989990234375,1.140393853187561,0.048,38.94463292403963,1838.829615200918
2015-02-16,81.5842514038086,15.79079914093018,44.4122200012207,3433.300048828125,2096.989990234375,1.14000391960144,0.048,38.95795377330614,1839.4585792016485
